Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100
0.683,0.58,0.527,0.007,-0.371,-0.446,1.18,0.012,0.759,0.057,-0.474,-1.544,-0.43,0.225,-1.064,-0.052,-0.025,-0.517,0.794,-0.247,0.89,-2.229,-1.528,1.16,0.775,-0.948,-1.164,-0.398,-0.094,-1.116,1.744,-1.5,-0.938,0.101,-0.186,0.813,1.081,0.468,1.392,-0.128,-0.301,1.151,-0.664,-1.289,1.969,-0.063,-0.323,0.434,1.614,-2.28,0.183,0.702,-0.09,-0.344,-1.326,1.03,2.161,-0.906,0.298,-0.429,-1.655,0.486,1.829,-1.197,-1.774,-0.735,-0.618,1.071,0.026,-0.25,1.282,2.47,-0.437,0.369,-1.107,1.833,-2.764,1.59,0.169,3.109,-0.62,-1.238,0.664,0.046,-0.436,-0.256,1.278,1.897,-0.554,0.933,1.059,1.638,0.17,0.864,1.464,-0.075,0.416,-0.293,-0.268,1.32
0.224,0.26,0.681,1.694,-1.726,-0.647,0.676,-0.494,0.183,-0.341,0.749,-1.838,0.517,-1.072,0.308,-0.122,1.099,-2.344,1.24,2.194,-0.174,-0.849,-1.146,-0.348,0.128,0.171,-0.735,-1.068,0.365,-0.957,2.324,-1.655,1.897,0.347,-0.729,0.135,-0.145,1.144,1.148,-0.869,0.963,-1.316,-0.351,0.971,0.258,-1.217,-0.972,-1.962,0.118,-1.154,0.582,-2.996,-0.91,-0.113,-0.545,-1.23,0.316,-0.249,-0.71,3.062,-0.093,-0.114,1.01,0.464,2.082,0.495,-1.103,-2.312,0.518,1.055,-1.513,1.57,-1.42,-1.679,-0.27,0.719,-0.273,1.914,1.116,1.413,0.721,0.543,-0.549,-0.475,-0.81,-0.905,-1.982,-0.894,-1.226,1.004,-0.837,-0.841,-0.03,0.847,1.527,1.409,-0.436,0.907,-0.459,2.107
2.144,1.691,-0.267,-1.344,1.075,2.117,0.263,0.271,0.06,-0.284,-0.714,0.241,-0.399,1.172,1.444,-1.225,-1.15,0.898,0.537,0.203,-0.578,0.688,0.057,2.764,1.958,0.244,0.293,-0.82,0.419,-1.279,1.303,-0.988,-0.74,0.124,1.009,0.801,-1.817,-0.344,0.173,-2.288,-1.129,-2.127,0.15,1.232,0.397,-1.947,0.606,-0.848,-0.918,0.629,0.683,1.596,0.181,-1.367,-0.576,1.571,0.596,-0.033,-0.566,1.065,0.474,0.143,0.567,0.27,-0.324,-1.014,-0.349,-0.126,1.472,-0.378,-1.444,-1.033,-1.06,-0.106,0.527,-0.983,0.211,-0.455,0.285,0.778,-0.39,-0.584,-0.04,0.277,1.568,-1.119,-0.797,-0.818,-0.934,1.605,0.462,-0.901,-0.317,0.9,0.616,-0.138,-0.194,-1.527,-0.426,0.048
-1.844,1.461,-0.557,0.041,1.514,0.35,0.271,0.453,0.628,-0.149,1.892,1.758,-1.018,0.905,1.553,-0.445,0.545,0.487,0.837,-0.196,-0.669,-0.068,-0.481,-1.573,0.589,-1.406,0.395,2.091,1.113,-0.916,-0.004,-0.878,-0.317,1.886,2.404,-0.174,-1.205,4.012,-0.025,1.067,0.618,-0.763,1.469,-0.159,-1.082,0.445,0.486,-0.341,-1.221,-0.067,0.506,-1.353,1.128,1.017,0.361,0.307,1.749,0.583,-0.857,0.749,-0.758,-0.811,1.751,-0.96,-2.653,0.01,-0.14,-1.845,1.196,-0.206,-2.194,-1.291,0.293,1.36,0.14,-0.576,0.786,-0.373,0.901,-0.46,-1.181,-0.112,-1.604,1.523,-0.435,-0.336,-2.093,1.609,1.233,1.123,-0.604,0.126,0.434,1.312,-0.282,-0.348,-0.297,-0.442,0.708,1.691
-0.227,-0.221,0.355,1.1,0.058,-0.054,-0.722,-2.592,-1.105,0.632,0.092,-1.463,-0.089,-0.674,-0.783,0.39,-0.919,-0.208,-0.35,1.67,-0.577,0.276,1.559,1.655,-1.318,-0.184,1.158,0.777,-0.273,-0.062,-0.054,-1.257,1.31,1.256,-1.429,-1.174,1.402,-0.884,1.261,0.172,-1.125,2.563,-0.876,0.059,-0.907,-0.628,-0.222,-0.428,-1.582,0.743,0.239,0.671,0.626,0.572,-0.913,0.703,-1.119,0.367,-1.75,0.569,-0.556,-2.475,-0.518,1.527,-0.241,1.04,-0.553,0.592,-1.929,-0.152,0.849,0.787,-0.878,-0.045,-0.598,0.472,-1.175,0.214,0.575,-1.128,0.937,1.288,-0.977,0.471,0.152,0.21,0.175,-0.416,0.752,-0.132,-0.231,0.625,-0.349,0.139,0.275,0.913,-0.572,-0.319,-1.411,-0.731
-0.939,1.603,0.43,-0.603,-1.664,1.977,0.727,0.424,0.779,-0.63,-0.205,0.99,0.215,-0.447,-0.687,0.483,-0.304,-0.448,0.15,-1.826,0.994,-2.079,1.802,0.333,1.21,0.643,-0.775,1.395,-0.038,0.595,-0.553,-1.481,-0.734,-0.821,-0.141,-0.702,1.741,-1.019,0.534,0.095,1.144,0.45,-0.177,-0.734,0.024,1.183,0.996,-0.399,-0.843,-0.948,-1.781,0.207,0.293,0.615,-0.758,-0.881,-0.781,1.294,0.42,0.168,0.668,2.597,0.795,0.947,0.533,-2.12,0.258,-1.08,0.587,0.836,0.942,-0.495,0.319,-0.484,-0.645,-0.854,-1.862,0.7,0.761,1.309,-0.473,0.226,0.292,-0.629,0.093,-0.04,0.888,1.486,1.162,-1.065,1.17,1.074,-1.561,-0.626,-0.44,-1.413,0.628,0.442,-0.713,0.229
-2.051,-0.166,-1.726,1.013,1.106,-0.289,-0.558,-1.955,-0.051,-0.249,-0.802,-0.242,-0.326,0.005,-2.553,-1.21,-0.033,0.742,0.301,0.509,-0.602,-1.059,-1.711,0.31,0.226,-1.559,0.18,-0.315,1.216,1.826,1.986,0.363,-0.035,1.09,-1.74,-0.646,-0.955,-0.577,-0.424,-0.626,1.581,0.664,-0.7,-1.3,0.251,0.96,-0.674,-0.072,-0.285,-0.363,0.545,-0.224,-0.274,-1.0,-0.661,0.268,-0.937,0.067,0.894,0.728,-0.16,0.362,-0.624,-0.52,0.103,0.714,-0.356,-0.53,-1.088,0.522,-0.086,1.492,-1.463,-0.784,-0.208,-0.635,-0.499,1.217,-0.48,-0.441,-0.582,0.504,2.099,0.768,-0.428,0.445,0.344,1.831,-0.457,-0.263,0.368,0.926,0.943,-2.02,-1.321,-0.452,-0.38,0.709,-1.519,0.253
-0.839,1.253,-0.244,0.02,-0.139,-0.76,-0.68,-0.027,-0.198,0.459,1.669,1.207,1.24,0.909,-0.71,-0.489,0.48,-0.115,-1.569,-0.263,-0.935,-0.627,0.393,-0.915,0.817,1.763,2.239,-1.224,1.026,-0.917,0.768,0.143,-1.05,0.692,-1.42,-0.666,0.955,0.023,1.174,-0.346,-1.135,0.156,-0.293,0.181,-0.921,0.334,0.185,-0.217,1.252,0.152,-1.586,1.113,0.811,-1.579,-0.888,-2.326,-0.176,0.752,0.672,-0.064,-1.08,-1.344,0.237,-0.002,0.148,1.495,-1.315,-1.463,0.278,0.188,0.514,0.623,-0.061,0.431,-0.435,-0.293,-0.338,0.977,0.537,-0.5,-0.542,0.038,-1.075,0.917,-0.093,-0.164,0.1,-0.436,-0.944,2.058,-0.355,-0.947,0.663,-0.572,0.384,-0.239,0.388,0.894,-1.169,-1.068
-2.018,0.102,-1.133,-1.229,0.107,0.713,1.104,0.28,-0.673,-0.898,-2.236,-0.102,-1.002,0.428,0.222,-0.304,-1.646,-0.158,0.82,0.449,0.282,-1.177,-0.168,0.916,0.029,-0.437,-1.335,-0.987,-1.227,-0.588,0.696,-0.332,-1.185,0.473,0.804,1.408,-1.913,-0.696,-0.935,-0.511,0.719,-1.768,-1.46,0.03,-0.225,0.331,0.192,-0.915,-1.542,1.353,0.686,-2.552,-1.026,-0.264,-1.483,-0.151,-1.939,-0.095,0.22,0.186,-0.875,0.276,0.579,1.164,-0.101,0.209,1.111,-0.358,0.988,-0.233,0.081,0.254,-0.393,-1.9,2.148,0.271,-1.343,-0.612,-0.971,-0.627,-0.494,-0.617,0.114,2.003,-0.616,0.151,-1.123,0.229,0.847,0.218,0.2,0.451,0.273,1.02,0.831,-1.048,-0.907,-0.484,0.199,-0.349
-1.006,-0.633,1.185,-0.353,0.797,-0.68,1.207,-1.068,1.584,0.105,1.395,0.542,-1.34,0.153,0.549,-0.326,1.359,0.267,0.397,2.249,1.192,-0.872,-0.647,1.256,0.195,-0.777,1.01,0.162,-0.99,0.342,-0.666,1.082,-0.098,0.005,0.523,1.37,0.339,-1.606,-1.034,-1.358,-0.599,0.742,0.118,0.4,1.625,-0.537,0.264,0.911,-1.216,0.352,-0.403,-2.108,-0.721,-1.145,0.637,0.684,-0.173,-1.266,-0.288,-0.388,-0.061,0.526,-0.62,0.379,0.274,2.013,1.412,1.718,0.256,-1.14,2.547,-1.098,0.468,-0.909,-1.443,-2.636,-0.723,-0.392,1.556,0.72,0.194,-1.073,0.845,1.718,0.049,0.408,1.554,-2.218,0.108,0.127,-2.791,0.49,1.866,1.521,1.88,-1.856,-0.514,0.474,0.739,1.147
