пЕГСКЭРЮРШ ЮМЮКХГЮ ЮМНЛЮКХИ ЛЕРНДНЛ Z-score
==========================================

яРНКАЕЖ: Feature_1
оНПНЦ Z-score: 2.00
бЯЕЦН ГМЮВЕМХИ: 1200
йНКХВЕЯРБН ЮМНЛЮКХИ: 52
оПНЖЕМР ЮМНЛЮКХИ: 4.33%

дЕРЮКЭМШЕ ПЕГСКЭРЮРШ:
яРПНЙЮ	гМЮВЕМХЕ	Z-score	юМНЛЮКХЪ
2	0.683	0.6713	мер
3	0.224	0.2075	мер
4	2.144	2.1479	дю
5	-1.844	-1.8825	мер
6	-0.227	-0.2483	мер
7	-0.939	-0.9679	мер
8	-2.051	-2.0917	дю
9	-0.839	-0.8668	мер
10	-2.018	-2.0584	дю
11	-1.006	-1.0356	мер
12	0.183	0.1660	мер
13	0.076	0.0579	мер
14	-0.858	-0.8860	мер
15	0.494	0.4803	мер
16	0.393	0.3782	мер
17	-0.027	-0.0462	мер
18	-0.564	-0.5889	мер
19	1.741	1.7406	мер
20	-1.177	-1.2084	мер
21	1.243	1.2373	мер
22	1.899	1.9003	мер
23	-0.056	-0.0755	мер
24	0.013	-0.0058	мер
25	-0.195	-0.2160	мер
26	-0.58	-0.6051	мер
27	-0.063	-0.0826	мер
28	-1.741	-1.7784	мер
29	-0.562	-0.5869	мер
30	1.549	1.5465	мер
31	1.125	1.1180	мер
32	-0.919	-0.9477	мер
33	0.45	0.4359	мер
34	0.418	0.4035	мер
35	-1.663	-1.6996	мер
36	-0.054	-0.0735	мер
37	0.14	0.1226	мер
38	-0.677	-0.7031	мер
39	2.021	2.0236	дю
40	0.758	0.7471	мер
41	-0.471	-0.4949	мер
42	-0.542	-0.5667	мер
43	-1.474	-1.5086	мер
44	-0.022	-0.0412	мер
45	-0.058	-0.0775	мер
46	-0.794	-0.8214	мер
47	-0.178	-0.1988	мер
48	-0.956	-0.9851	мер
49	-1.44	-1.4742	мер
50	-1.196	-1.2276	мер
51	1.146	1.1393	мер
52	0.137	0.1195	мер
53	0.047	0.0286	мер
54	-0.965	-0.9942	мер
55	-1.299	-1.3317	мер
56	0.77	0.7593	мер
57	-0.205	-0.2261	мер
58	0.303	0.2873	мер
59	0.755	0.7441	мер
60	0.666	0.6542	мер
61	0.829	0.8189	мер
62	-1.127	-1.1579	мер
63	1.639	1.6375	мер
64	0.304	0.2883	мер
65	0.503	0.4894	мер
66	0.863	0.8532	мер
67	0.471	0.4571	мер
68	-0.264	-0.2857	мер
69	0.593	0.5804	мер
70	0.709	0.6976	мер
71	1.203	1.1969	мер
72	0.295	0.2792	мер
73	-0.013	-0.0321	мер
74	0.414	0.3995	мер
75	0.103	0.0852	мер
76	2.646	2.6552	дю
77	-0.305	-0.3272	мер
78	-0.353	-0.3757	мер
79	0.42	0.4055	мер
80	0.11	0.0922	мер
81	-1.184	-1.2155	мер
82	0.723	0.7118	мер
83	-0.691	-0.7173	мер
84	0.259	0.2428	мер
85	0.374	0.3590	мер
86	0.996	0.9877	мер
87	1.418	1.4141	мер
88	0.938	0.9290	мер
89	-0.861	-0.8891	мер
90	1.114	1.1069	мер
91	-0.508	-0.5323	мер
92	-0.985	-1.0144	мер
93	-0.22	-0.2413	мер
94	1.674	1.6729	мер
95	0.196	0.1792	мер
96	0.937	0.9280	мер
97	0.442	0.4278	мер
98	-1.233	-1.2650	мер
99	-0.241	-0.2625	мер
100	0.089	0.0710	мер
101	0.67	0.6582	мер
102	1.214	1.2080	мер
103	0.169	0.1519	мер
104	1.028	1.0200	мер
105	0.147	0.1296	мер
106	-0.851	-0.8790	мер
107	0.301	0.2853	мер
108	0.898	0.8886	мер
109	0.115	0.0973	мер
110	0.22	0.2034	мер
111	0.032	0.0134	мер
112	1.807	1.8073	мер
113	-1.392	-1.4257	мер
114	-0.617	-0.6425	мер
115	0.151	0.1337	мер
116	0.553	0.5400	мер
117	0.954	0.9452	мер
118	-0.823	-0.8507	мер
119	-1.191	-1.2226	мер
120	1.947	1.9488	мер
121	-0.963	-0.9922	мер
122	0.0	-0.0189	мер
123	1.363	1.3586	мер
124	0.471	0.4571	мер
125	-0.082	-0.1018	мер
126	0.19	0.1731	мер
127	1.177	1.1706	мер
128	-0.458	-0.4818	мер
129	0.204	0.1872	мер
130	-1.337	-1.3701	мер
131	-1.246	-1.2782	мер
132	1.421	1.4172	мер
133	-0.668	-0.6940	мер
134	0.013	-0.0058	мер
135	-1.033	-1.0629	мер
136	0.936	0.9270	мер
137	0.677	0.6653	мер
138	0.295	0.2792	мер
139	-0.06	-0.0796	мер
140	-1.615	-1.6511	мер
141	-0.493	-0.5172	мер
142	0.139	0.1215	мер
143	-1.142	-1.1731	мер
144	-0.783	-0.8102	мер
145	0.099	0.0811	мер
146	-0.381	-0.4040	мер
147	-0.984	-1.0134	мер
148	0.916	0.9068	мер
149	-0.122	-0.1422	мер
150	-1.19	-1.2216	мер
151	0.506	0.4925	мер
152	0.797	0.7865	мер
153	0.623	0.6107	мер
154	0.384	0.3692	мер
155	-0.5	-0.5242	мер
156	-0.275	-0.2969	мер
157	-1.125	-1.1559	мер
158	-0.287	-0.3090	мер
159	0.418	0.4035	мер
160	-2.411	-2.4556	дю
161	-0.76	-0.7870	мер
162	-2.243	-2.2858	дю
163	-0.392	-0.4151	мер
164	-0.519	-0.5434	мер
165	-0.775	-0.8022	мер
166	-0.865	-0.8931	мер
167	1.259	1.2535	мер
168	0.365	0.3500	мер
169	0.005	-0.0139	мер
170	-1.195	-1.2266	мер
171	0.83	0.8199	мер
172	0.507	0.4935	мер
173	1.841	1.8416	мер
174	0.02	0.0013	мер
175	1.255	1.2494	мер
176	-0.348	-0.3706	мер
177	0.678	0.6663	мер
178	-2.424	-2.4687	дю
179	-0.014	-0.0331	мер
180	1.443	1.4394	мер
181	-0.038	-0.0573	мер
182	-0.721	-0.7476	мер
183	-0.878	-0.9063	мер
184	0.238	0.2216	мер
185	-2.419	-2.4636	дю
186	0.635	0.6228	мер
187	-0.168	-0.1887	мер
188	0.353	0.3378	мер
189	-0.984	-1.0134	мер
190	-1.28	-1.3125	мер
191	2.396	2.4025	дю
192	-0.05	-0.0695	мер
193	1.438	1.4344	мер
